#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/																							
#dcterms:license: CC-0																							
#version: 2.0																							
#creator_id:																							
orcid:0009-0004-7916-9833																							
orcid:0000-0002-7654-6902																							
#creator_name:																							
Camila Babo																							
Peter Wollard																							
#curie_map:																							
# - bcdm: https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv																							
#  - MIXS: https://genomicsstandardsconsortium.github.io/mixs/																							
# - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs/releases/tag/																							
# - orcid: https://orcid.org/																							
# - skos: http://www.w3.org/2004/02/skos/core																							
# - semapv: https://w3id.org/semapv/vocab/																							
subject_id	subject_label	ext_subject_definition	ext_subject_valueSyntax	ext_subject_valueFormat	ext_subject_group	subject_category	predicate_id	ext_syntax_predicate_id	object_id	object_label	ext_object_definition	ext_object_valueSyntax	ext_object_valueFormat	object_category	mapping_justification	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	comment
bcdm:kingdom	bcdm:kingdom	Taxonomy: Kingdom.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:phylum	bcdm:phylum	Taxonomy: Phylum.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:class	bcdm:class	Taxonomy: Class.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:order	bcdm:order	Taxonomy: Order.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:family	bcdm:family	Taxonomy: Family.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:subfamily	bcdm:subfamily	Taxonomy: Subfamily.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:tribe	bcdm:tribe	Taxonomy: Tribe	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:genus	bcdm:genus	Taxonomy: Genus.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:species	bcdm:species	Taxonomy: Species.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:subspecies	bcdm:subspecies	Taxonomy: Subspecies.	string	default	taxonomy	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable	notApplicable							semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
