#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/															
#dcterms:license: CC-0															
#version: 2.0															
#creator_id:															
orcid:0009-0004-7916-9833															
orcid:0000-0002-7654-6902															
#creator_name:															
Camila Babo															
Peter Wollard															
#curie_map:															
# - bcdm: https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv															
#  - MIXS: https://genomicsstandardsconsortium.github.io/mixs/															
# - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs/releases/tag/															
# - orcid: https://orcid.org/															
# - skos: http://www.w3.org/2004/02/skos/core															
# - semapv: https://w3id.org/semapv/vocab/															
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	mapping_justification	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	comment
bcdm:taxonomy_notes	bcdm:taxonomy_notes	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:sex	bcdm:sex	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:broadMatch	MIXS:0000862	MIXS:urobiom_sex	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	Both terms expect the sex of the specimen. However, the object expect the sex for a particular organism of the urobiome, as such, the subject is broader semantically but related syntatically, as the object requires strings from a controlled vocabulary.
bcdm:sex	bcdm:sex	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:broadMatch	MIXS:0001249	MIXS:animal_sex	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	Both terms expect the sex of the specimen. However, the object expect the sex for a particular organism of the animal class, as such, the subject is broader semantically but related syntatically, as the object requires strings from a controlled vocabulary.
bcdm:sex	bcdm:sex	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:broadMatch	MIXS:0000811	MIXS:host_sex	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	Both terms expect the sex of the specimen. However, the object expect the sex for a particular organism from the host, as such, the subject is broader semantically but related syntatically.
bcdm:sex	bcdm:sex	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:broadMatch	MIXS:0001059	MIXS:plant_sex	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	Both terms expect the sex of the specimen. However, the object expect the sex for a particular organism from the plant class, as such, the subject is broader semantically but related syntatically, as the object requires strings from a controlled vocabulary.
bcdm:reproduction	bcdm:reproduction	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:relatedMatch	MIXS:0000033	MIXS:propagation	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.7	Semantically, both terms expect the type of reproduction, however the subject specifies 'Sexual/asexual/cyclic parthenogen only'. Syntatically, the object recommends values for the field 'Expected_value: for virus: lytic, lysogenic, temperate, obligately lytic; for plasmid: incompatibility group; for eukaryote: asexual, sexual; other more specific values (e.g., incompatibility group) are allowed'.
bcdm:life_stage	bcdm:life_stage	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:broadMatch	MIXS:0000251	MIXS:host_life_stage	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.8	Both terms expect the life stage, however, the object expects it only for the host, as such, the subject is broader as it does not do that distinction. Syntatically, the object expects only a 'stage', whereas the subject expects a controlled vocabularry ''Adult', 'Immature', 'Juvenile', 'Pupa'.'.
bcdm:short_note	bcdm:short_note	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:notes	bcdm:notes	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:voucher_type	bcdm:voucher_type	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:tissue_type	bcdm:tissue_type	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:specimen_linkout	bcdm:specimen_linkout	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:relatedMatch	MIXS:0000091	MIXS:associated_resource	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.7	Both terms expect a reference to an external resources related to the specimen. Syntatically, the object expects a structured pattern ('^({PMID}|{DOI}|{URL})$'), where the subject makes no recommendations.
bcdm:associated_specimens	bcdm:associated_specimens	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:associated_taxa	bcdm:associated_taxa	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:collectors	bcdm:collectors	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:collection_date_start	bcdm:collection_date_start	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:narrowMatch	MIXS:0000011	MIXS:collection_date	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	The object expects the date and time of the sampling, either as a single point or as an interval; whereas, the subject specifically expects the start date of the collection, meaning it expects a narrower value. Syntatically, these may be an exact match or a narrow match depending on how the user represents the value.
bcdm:collection_date_end	bcdm:collection_date_end	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:narrowMatch	MIXS:0000011	MIXS:collection_date	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	The object expects the date and time of the sampling, either as a single point or as an interval; whereas, the subject specifically expects the end date of the collection, meaning it expects a narrower value. Syntatically, these may be an exact match or a narrow match depending on how the user represents the value.
bcdm:collection_event_id	bcdm:collection_event_id	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable			MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:collection_time	bcdm:collection_time	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:narrowMatch	MIXS:0000011	MIXS:collection_date	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	The object expects the date and time of the sampling, either as a single point or as an interval; whereas, the subject specifically expects the time of the collection, meaning it expects a narrower value. Syntatically, these may be an exact match or a narrow match depending on how the user represents the value.
bcdm:collection_notes	bcdm:collection_notes	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:geoid	bcdm:geoid	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:country/ocean	bcdm:country/ocean	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:narrowMatch	MIXS:0000010	MIXS:geo_loc_name	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	The object expects the geographical origin of the sample as defined by the country or sea name followed by specific region name, whereas the subject expects only the country or ocean. The object expects a structured pattern ('^{country}: {region}, {specific_location}$'), where country/ocean would be the first string delimited by a semicolon, whereas the object would expect only the country/ocean name, so it is narrower.
bcdm:country_iso	bcdm:country_iso	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:province/state	bcdm:province/state	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:relatedMatch	MIXS:0000010	MIXS:geo_loc_name	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		The object expects the geographical origin of the sample as defined by the country or sea name followed by specific region name, whereas the subject expects only the providence or state. The object expects a structured pattern ('^{country}: {region}, {specific_location}$'), where region would be the second string delimited by a space, whereas the object would expect only the providence/state, so it is narrower. Here region from the object could directly or indirectly point to providence/state as a region.
bcdm:region	bcdm:region	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:narrowMatch	MIXS:0000010	MIXS:geo_loc_name	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		The object expects the geographical origin of the sample as defined by the country or sea name followed by specific region name, whereas the subject expects only the region name. The object expects a structured pattern ('^{country}: {region}, {specific_location}$'), where region would be the second string delimited by a space, whereas the object would expect only the region name, so it is narrower.
bcdm:sector	bcdm:sector	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:site	bcdm:site	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:narrowMatch	MIXS:0000010	MIXS:geo_loc_name	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		The object expects the geographical origin of the sample as defined by the country or sea name followed by specific region name, whereas the subject expects only the specific site name. The object expects a structured pattern ('^{country}: {region}, {specific_location}$'), where specific location would be the last string delimited by a comma, whereas the object would expect only the specific site name, so it is narrower.
bcdm:site_code	bcdm:site_code	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:coord	bcdm:coord	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:closeMatch	MIXS:0000009	MIXS:lat_lon	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.9	Both terms expect the latitude and longitude in degrees format. Syntatically, the object requires a structured pattern ('^{lat} {lon}$') that seems to align with the subject, however the subject provides no clear example for the strucutre, although its expected format is an array.
